"vaka_yeni","vaka_toplam","olum_yeni","olum_toplam","iyilesen_yeni","iyilesen_toplam","yogun_bakim","test_yeni","test_toplam","tarih","vaka_gun"
"2","2","0","0","0","0","0","0","0","1/31/2020","1"
"0","2","0","0","0","0","0","0","0","2/1/2020","2"
"0","2","0","0","0","0","0","0","0","2/2/2020","3"
"0","2","0","0","0","0","0","0","0","2/3/2020","4"
"0","2","0","0","0","0","0","0","0","2/4/2020","5"
"0","2","0","0","0","0","0","0","0","2/5/2020","6"
"0","2","0","0","0","0","0","0","0","2/6/2020","7"
"1","3","0","0","0","0","0","0","0","2/7/2020","8"
"0","3","0","0","0","0","0","0","0","2/8/2020","9"
"0","3","0","0","0","0","0","0","0","2/9/2020","10"
"0","3","0","0","0","0","0","0","0","2/10/2020","11"
"0","3","0","0","0","0","0","0","0","2/11/2020","12"
"0","3","0","0","0","0","0","0","0","2/12/2020","13"
"0","3","0","0","0","0","0","0","0","2/13/2020","14"
"0","3","0","0","0","0","0","0","0","2/14/2020","15"
"0","3","0","0","0","0","0","0","0","2/15/2020","16"
"0","3","0","0","0","0","0","0","0","2/16/2020","17"
"0","3","0","0","0","0","0","0","0","2/17/2020","18"
"0","3","0","0","0","0","0","0","0","2/18/2020","19"
"0","3","0","0","0","0","0","0","0","2/19/2020","20"
"0","3","0","0","0","0","0","0","0","2/20/2020","21"
"17","20","1","1","0","0","0","0","0","2/21/2020","22"
"45","62","1","2","1","1","18","0","0","2/22/2020","23"
"110","155","1","3","1","2","25","0","0","2/23/2020","24"
"119","229","4","7","1","3","27","0","0","2/24/2020","25"
"203","322","3","10","1","4","35","0","8600","2/25/2020","26"
"250","453","2","12","3","7","36","987","9587","2/26/2020","27"
"405","655","5","17","38","45","56","2427","12014","2/27/2020","28"
"483","888","4","21","1","46","64","3681","15695","2/28/2020","29"
"645","1128","8","29","0","46","105","2966","18661","2/29/2020","30"
"1049","1694","5","34","37","83","140","2466","21127","3/1/2020","31"
"987","2036","18","52","66","149","166","2218","23345","3/2/2020","32"
"1515","2502","27","79","11","160","229","2511","25856","3/3/2020","33"
"1574","3089","28","107","116","276","295","3981","29837","3/4/2020","34"
"2284","3858","41","148","138","414","351","2525","32362","3/5/2020","35"
"2352","4636","49","197","109","523","462","3997","36359","3/6/2020","36"
"3531","5883","36","233","66","589","567","5703","42062","3/7/2020","37"
"3844","7375","133","366","33","622","650","7875","49937","3/8/2020","38"
"5328","9172","97","463","102","724","733","3889","53826","3/9/2020","39"
"4821","10149","168","631","0","724","877","6935","60761","3/10/2020","40"
"7641","12462","196","827","321","1045","1028","12393","73154","3/11/2020","41"
"0","12462","0","827","0","1045","1153","12857","86011","3/12/2020","42"
"5198","17660","439","1266","394","1439","1328","11477","97488","3/13/2020","43"
"3497","21157","175","1441","527","1966","1518","11682","109170","3/14/2020","44"
"3590","24747","368","1809","369","2335","1672","15729","124899","3/15/2020","45"
"3233","27980","349","2158","414","2749","1851","13063","137962","3/16/2020","46"
"3526","31506","345","2503","192","2941","206","10695","148657","3/17/2020","47"
"4207","35713","2633","2978","1084","4025","2257","16884","165541","3/18/2020","48"
"5322","41035","427","3405","415","4440","2498","17236","182777","3/19/2020","49"
"5986","47021","627","4032","0","4440","2655","24109","206886","3/20/2020","50"
"6557","53578","793","4825","1632","6072","2857","26336","233222","3/21/2020","51"
"5560","59138","651","5476","952","7024","3009","25180","258402","3/22/2020","52"
"4789","63927","601","6077","408","7432","3204","17066","275468","3/23/2020","53"
"5249","69176","743","6820","894","8326","3396","21496","296964","3/24/2020","54"
"5210","74386","683","7503","1036","9362","3489","27481","324445","3/25/2020","55"
"6203","80589","712","8215","999","10361","3612","36615","361060","3/26/2020","60"
"5909","86498","919","9134","589","10950","3732","33019","394079","3/27/2020","61"
"5974","92472","889","10023","1434","12384","3856","35447","429526","3/28/2020","62"
"5217","97689","756","10779","646","13030","3906","24504","454030","3/29/2020","63"
"4050","101739","812","11591","1590","14620","3981","23329","477359","3/30/2020","64"
"4053","105792","837","12428","1109","15729","4023","29609","506968","3/31/2020","65"
"4782","110574","727","13155","1118","16847","4035","34455","541423","4/1/2020","66"
"4668","115242","760","13915","1431","18278","4053","39809","581232","4/2/2020","67"
"4585","119827","766","14681","1480","19758","4068","38617","619849","4/3/2020","68"
"4805","124632","681","15362","1238","20996","3994","37375","657224","4/4/2020","69"
"4316","128948","525","15887","819","21815","3977","34237","691461","4/5/2020","70"
"3599","132547","636","16523","1022","22837","3898","30271","721732","4/6/2020","71"
"3039","135586","604","17127","1555","24392","3792","33713","755445","4/7/2020","72"
"3836","139422","542","17669","2099","26491","3693","51680","807125","4/8/2020","73"
"4204","143626","610","18279","1979","28470","3605","46244","853369","4/9/2020","74"
"3951","147577","570","18849","1985","30455","3497","53495","906864","4/10/2020","75"
"4694","152271","619","19468","2079","32534","3381","56609","963473","4/11/2020","76"
"4092","156363","431","19899","1677","34211","3343","46720","1010193","4/12/2020","77"
"3153","159516","566","20465","1224","35435","326","36717","1046910","4/13/2020","78"
"2972","162488","602","21067","1695","37130","3186","26779","1073689","4/14/2020","79"
"2667","165155","578","21645","962","38092","3079","43715","1117404","4/15/2020","80"
"3786","168941","525","22170","2072","40164","2936","60999","1178403","4/16/2020","81"
"3493","172434","575","22745","2563","42727","2812","65705","1244108","4/17/2020","82"
"3491","175925","482","23227","2200","44927","2733","61725","1305833","4/18/2020","83"
"3047","178972","433","23660","2128","47055","2635","50708","1356541","4/19/2020","84"
"2256","181228","454","24114","1822","48877","2573","41483","1398024","4/20/2020","85"
"","","","","","","","","","",""
